KdPosting,Tahun,KURincianSD,Kd_Rincian,RincianSD,Kd_SubRinci,Anggaran,AnggaranPAK,AnggaranStlhPAK,Belanja,Kd_Keg,SumberDana,Kd_Desa,TglPosting
"2","2019","12.2009.03.02.03.5.2.4.03.01PBH","5.2.4.03.","5.2.4.03.PBH","01",1.0000000000000000e+06,0.0000000000000000e+00,1.0000000000000000e+06,"BOP","12.2009.03.02.03.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.03.02.03.5.2.7.01.01PBH","5.2.7.01.","5.2.7.01.PBH","01",3.7500000000000000e+06,0.0000000000000000e+00,3.7500000000000000e+06,"BOP","12.2009.03.02.03.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.03.02.99.5.2.4.02.01PAD","5.2.4.02.","5.2.4.02.PAD","01",6.0000000000000000e+06,0.0000000000000000e+00,6.0000000000000000e+06,"BOP","12.2009.03.02.99.","PAD","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.03.02.99.5.2.7.04.01PAD","5.2.7.04.","5.2.7.04.PAD","01",4.0000000000000000e+06,0.0000000000000000e+00,4.0000000000000000e+06,"BOP","12.2009.03.02.99.","PAD","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.03.03.06.5.2.2.99.01PBH","5.2.2.99.","5.2.2.99.PBH","01",3.5000000000000000e+06,0.0000000000000000e+00,3.5000000000000000e+06,"BOP","12.2009.03.03.06.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.03.04.02.5.2.2.99.01ADD","5.2.2.99.","5.2.2.99.ADD","01",2.0000000000000000e+06,0.0000000000000000e+00,2.0000000000000000e+06,"BOP","12.2009.03.04.02.","ADD","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.03.04.03.5.2.1.01.01PBH","5.2.1.01.","5.2.1.01.PBH","01",1.0000000000000000e+06,0.0000000000000000e+00,1.0000000000000000e+06,"BOP","12.2009.03.04.03.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.03.04.03.5.2.1.09.01PBH","5.2.1.09.","5.2.1.09.PBH","01",1.1000000000000000e+07,0.0000000000000000e+00,1.1000000000000000e+07,"BOP","12.2009.03.04.03.","PBH","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.03.04.905.2.2.99.01ADD","5.2.2.99.","5.2.2.99.ADD","01",2.5000000000000000e+06,0.0000000000000000e+00,2.5000000000000000e+06,"BOP","12.2009.03.04.90","ADD","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.04.03.03.5.2.1.01.01DDS","5.2.1.01.","5.2.1.01.DDS","01",1.4000000000000000e+05,0.0000000000000000e+00,1.4000000000000000e+05,"BOP","12.2009.04.03.03.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.04.03.03.5.2.1.05.01DDS","5.2.1.05.","5.2.1.05.DDS","01",3.2500000000000000e+05,0.0000000000000000e+00,3.2500000000000000e+05,"BOP","12.2009.04.03.03.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.04.03.03.5.2.1.06.01DDS","5.2.1.06.","5.2.1.06.DDS","01",3.5000000000000000e+05,0.0000000000000000e+00,3.5000000000000000e+05,"BOP","12.2009.04.03.03.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.04.03.03.5.2.1.09.01DDS","5.2.1.09.","5.2.1.09.DDS","01",1.5750000000000000e+06,0.0000000000000000e+00,1.5750000000000000e+06,"BOP","12.2009.04.03.03.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.04.03.03.5.2.2.01.01DDS","5.2.2.01.","5.2.2.01.DDS","01",2.5000000000000000e+05,0.0000000000000000e+00,2.5000000000000000e+05,"BOP","12.2009.04.03.03.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.04.03.03.5.2.2.04.01DDS","5.2.2.04.","5.2.2.04.DDS","01",2.0000000000000000e+06,0.0000000000000000e+00,2.0000000000000000e+06,"BOP","12.2009.04.03.03.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.04.03.03.5.2.2.99.01DDS","5.2.2.99.","5.2.2.99.DDS","01",1.0500000000000000e+06,0.0000000000000000e+00,1.0500000000000000e+06,"BOP","12.2009.04.03.03.","DDS","12.2009.","12/31/18 00:00:00"
"2","2019","12.2009.05.03.01.5.4.1.01.01PAD","5.4.1.01.","5.4.1.01.PAD","01",1.0000000000000000e+06,0.0000000000000000e+00,1.0000000000000000e+06,"BOP","12.2009.05.03.01.","PAD","12.2009.","12/31/18 00:00:00"
