Tahun,Kd_Desa,Kd_Keg,Kd_Rincian,Kd_SubRinci,No_Urut,SumberDana,Uraian,Satuan,JmlSatuan,HrgSatuan,Anggaran,JmlSatuanPAK,HrgSatuanPAK,AnggaranStlhPAK,AnggaranPAK,Kode_SBU
"2019","12.2009.","12.2009.02.02.04.","5.3.3.01.","01","03","PBH","Honorarium Anggota Tim Panitia (1 Org)","Ob",1.0000000000000000e+00,3.0000000000000000e+05,3.0000000000000000e+05,1.0000000000000000e+00,3.0000000000000000e+05,3.0000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.04.","5.2.1.01.","01","01","PBH","Kertas HVS","Rim",2.4000000000000000e+01,6.0000000000000000e+04,1.4400000000000000e+06,2.4000000000000000e+01,6.0000000000000000e+04,1.4400000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.04.","5.2.1.01.","01","02","PBH","Tinta Printer Originil","Botol",1.2000000000000000e+01,1.0000000000000000e+05,1.2000000000000000e+06,1.2000000000000000e+01,1.0000000000000000e+05,1.2000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.04.","5.2.1.01.","01","03","PBH","Map","Buah",2.0000000000000000e+02,2.5000000000000000e+03,5.0000000000000000e+05,2.0000000000000000e+02,2.5000000000000000e+03,5.0000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.04.","5.2.1.01.","01","04","PBH","Flashdisk","Buah",7.0000000000000000e+00,2.0000000000000000e+05,1.4000000000000000e+06,7.0000000000000000e+00,2.0000000000000000e+05,1.4000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.04.","5.2.2.01.","01","01","PBH","Operasional PPKD (Sekretaris Desa)","Ob",1.2000000000000000e+01,5.0000000000000000e+05,6.0000000000000000e+06,1.2000000000000000e+01,5.0000000000000000e+05,6.0000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.04.","5.2.2.01.","01","02","PBH","Operasional PPKD (Bendahara Desa)","Ob",1.2000000000000000e+01,4.0000000000000000e+05,4.8000000000000000e+06,1.2000000000000000e+01,4.0000000000000000e+05,4.8000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.04.","5.2.1.01.","01","05","PBH","Materai Rp. 6.000,-","Bah",5.0000000000000000e+01,7.0000000000000000e+03,3.5000000000000000e+05,5.0000000000000000e+01,7.0000000000000000e+03,3.5000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.04.","5.2.1.01.","01","06","PBH","Materai Rp. 3.000,-","Buah",5.0000000000000000e+01,3.5000000000000000e+03,1.7500000000000000e+05,5.0000000000000000e+01,3.5000000000000000e+03,1.7500000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.01.01.04.","5.2.1.01.","01","07","PBH","Balpoint","Pak",1.2000000000000000e+01,2.8500000000000000e+04,3.4200000000000000e+05,1.2000000000000000e+01,2.8500000000000000e+04,3.4200000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.03.04.03.","5.2.1.01.","01","01","PBH","Buku Folio","Buah",2.0000000000000000e+01,3.0000000000000000e+04,6.0000000000000000e+05,2.0000000000000000e+01,3.0000000000000000e+04,6.0000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.03.","01","03","DDS","Cangkul","unit",2.0000000000000000e+00,8.0000000000000000e+04,1.6000000000000000e+05,2.0000000000000000e+00,8.0000000000000000e+04,1.6000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.03.","01","04","DDS","Garpu","unit",1.0000000000000000e+00,2.0000000000000000e+05,2.0000000000000000e+05,1.0000000000000000e+00,2.0000000000000000e+05,2.0000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.03.","01","05","DDS","Benang","rol",5.0000000000000000e+00,5.0000000000000000e+03,2.5000000000000000e+04,5.0000000000000000e+00,5.0000000000000000e+03,2.5000000000000000e+04,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.03.","01","06","DDS","Bambu","batang",1.0000000000000000e+01,2.0000000000000000e+04,2.0000000000000000e+05,1.0000000000000000e+01,2.0000000000000000e+04,2.0000000000000000e+05,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.03.","01","07","DDS","Semen","zak",2.1000000000000000e+02,5.0000000000000000e+04,1.0500000000000000e+07,2.1000000000000000e+02,5.0000000000000000e+04,1.0500000000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.03.","01","08","DDS","Pasir Pasang","m3",2.9000000000000000e+01,2.0000000000000000e+05,5.8000000000000000e+06,2.9000000000000000e+01,2.0000000000000000e+05,5.8000000000000000e+06,0.0000000000000000e+00,
"2019","12.2009.","12.2009.02.03.14.","5.3.5.03.","01","09","DDS","Batu Belah","m3",5.8000000000000000e+01,2.5560000000000000e+05,1.4824800000000000e+07,5.8000000000000000e+01,2.5560000000000000e+05,1.4824800000000000e+07,0.0000000000000000e+00,
"2019","12.2009.","12.2009.03.02.03.","5.2.1.09.","01","01","PBH","Kaos Peserta","pcs",5.0000000000000000e+01,8.5000000000000000e+04,4.2500000000000000e+06,5.0000000000000000e+01,8.5000000000000000e+04,4.2500000000000000e+06,0.0000000000000000e+00,
