KdPosting,KURincianSD,Tahun,Sifat,SumberDana,Kd_Desa,Kd_Keg,Kd_Rincian,Anggaran,AnggaranPAK,Jan,Peb,Mar,Apr,Mei,Jun,Jul,Agt,Sep,Okt,Nop,Des,KunciData
"2","12.2009.03.02.03.5.2.1.07.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.03.02.03.","5.2.1.07.",4.2750000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2750000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.03.02.03.5.2.1.08.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.03.02.03.","5.2.1.08.",2.1250000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1250000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.03.02.03.5.2.2.99.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.03.02.03.","5.2.2.99.",5.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.03.02.03.5.2.4.03.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.03.02.03.","5.2.4.03.",2.1000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.03.02.99.5.2.4.02.01PADAWAL","2019","AWAL","PAD","12.2009.","12.2009.03.02.99.","5.2.4.02.",6.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+06,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.03.02.99.5.2.7.04.01PADAWAL","2019","AWAL","PAD","12.2009.","12.2009.03.02.99.","5.2.7.04.",4.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+06,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.03.03.06.5.2.2.99.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.03.03.06.","5.2.2.99.",3.5000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.03.04.02.5.2.2.99.01ADDAWAL","2019","AWAL","ADD","12.2009.","12.2009.03.04.02.","5.2.2.99.",2.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.03.04.03.5.2.1.01.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.03.04.03.","5.2.1.01.",1.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.03.04.03.5.2.1.09.01PBHAWAL","2019","AWAL","PBH","12.2009.","12.2009.03.04.03.","5.2.1.09.",1.1000000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1000000000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"2","12.2009.03.04.905.2.2.99.01ADDAWAL","2019","AWAL","ADD","12.2009.","12.2009.03.04.90","5.2.2.99.",2.5000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.5000000000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
