KdPosting,Tahun,Kd_Desa,Kd_Keg,Kd_Rincian,Kd_SubRinci,No_Urut,Uraian,SumberDana,JmlSatuan,HrgSatuan,Satuan,Anggaran,JmlSatuanPAK,HrgSatuanPAK,AnggaranStlhPAK,AnggaranPAK
"2","2019","12.2009.","12.2009.02.03.11.","5.3.5.01.","01","15","Photocopy","DDS",9.0000000000000000e+02,2.5000000000000000e+02,"lembar",2.2500000000000000e+05,9.0000000000000000e+02,2.5000000000000000e+02,2.2500000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.00.00.00.","4.2.2.01.","01","01","Bagi Hasil Pajak dan Restribusi Daerah","PBH",1.0000000000000000e+00,4.7334710000000000e+08,"Tahun",4.7334710000000000e+08,1.0000000000000000e+00,4.7334710000000000e+08,4.7334710000000000e+08,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.02.04.","5.3.3.02.","01","01","Kendaraan Roda Empat (Ambulance Desa)","PBH",1.0000000000000000e+00,1.9988377000000000e+08,"Unit",1.9988377000000000e+08,1.0000000000000000e+00,1.9988377000000000e+08,1.9988377000000000e+08,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.02.04.","5.3.3.01.","01","01","Honorarium Ketua Tim Pengadaan (1 Org)","PBH",1.0000000000000000e+00,5.0000000000000000e+05,"OB",5.0000000000000000e+05,1.0000000000000000e+00,5.0000000000000000e+05,5.0000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.02.04.","5.3.3.01.","01","02","Honorarium Sekretaris Tim Pengadaan (1 Org)","PBH",1.0000000000000000e+00,4.0000000000000000e+05,"Ob",4.0000000000000000e+05,1.0000000000000000e+00,4.0000000000000000e+05,4.0000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.02.04.","5.3.3.01.","01","03","Honorarium Anggota Tim Panitia (1 Org)","PBH",1.0000000000000000e+00,3.0000000000000000e+05,"Ob",3.0000000000000000e+05,1.0000000000000000e+00,3.0000000000000000e+05,3.0000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.04.","5.2.1.01.","01","01","Kertas HVS","PBH",2.4000000000000000e+01,6.0000000000000000e+04,"Rim",1.4400000000000000e+06,2.4000000000000000e+01,6.0000000000000000e+04,1.4400000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.04.","5.2.1.01.","01","02","Tinta Printer Originil","PBH",1.2000000000000000e+01,1.0000000000000000e+05,"Botol",1.2000000000000000e+06,1.2000000000000000e+01,1.0000000000000000e+05,1.2000000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.04.","5.2.1.01.","01","03","Map","PBH",2.0000000000000000e+02,2.5000000000000000e+03,"Buah",5.0000000000000000e+05,2.0000000000000000e+02,2.5000000000000000e+03,5.0000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.04.","5.2.1.01.","01","04","Flashdisk","PBH",7.0000000000000000e+00,2.0000000000000000e+05,"Buah",1.4000000000000000e+06,7.0000000000000000e+00,2.0000000000000000e+05,1.4000000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.04.","5.2.2.01.","01","01","Operasional PPKD (Sekretaris Desa)","PBH",1.2000000000000000e+01,5.0000000000000000e+05,"Ob",6.0000000000000000e+06,1.2000000000000000e+01,5.0000000000000000e+05,6.0000000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.04.","5.2.2.01.","01","02","Operasional PPKD (Bendahara Desa)","PBH",1.2000000000000000e+01,4.0000000000000000e+05,"Ob",4.8000000000000000e+06,1.2000000000000000e+01,4.0000000000000000e+05,4.8000000000000000e+06,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.04.","5.2.1.01.","01","05","Materai Rp. 6.000,-","PBH",5.0000000000000000e+01,7.0000000000000000e+03,"Bah",3.5000000000000000e+05,5.0000000000000000e+01,7.0000000000000000e+03,3.5000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.04.","5.2.1.01.","01","06","Materai Rp. 3.000,-","PBH",5.0000000000000000e+01,3.5000000000000000e+03,"Buah",1.7500000000000000e+05,5.0000000000000000e+01,3.5000000000000000e+03,1.7500000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.01.01.04.","5.2.1.01.","01","07","Balpoint","PBH",1.2000000000000000e+01,2.8500000000000000e+04,"Pak",3.4200000000000000e+05,1.2000000000000000e+01,2.8500000000000000e+04,3.4200000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.03.04.03.","5.2.1.01.","01","01","Buku Folio","PBH",2.0000000000000000e+01,3.0000000000000000e+04,"Buah",6.0000000000000000e+05,2.0000000000000000e+01,3.0000000000000000e+04,6.0000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.14.","5.3.5.03.","01","03","Cangkul","DDS",2.0000000000000000e+00,8.0000000000000000e+04,"unit",1.6000000000000000e+05,2.0000000000000000e+00,8.0000000000000000e+04,1.6000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.14.","5.3.5.03.","01","04","Garpu","DDS",1.0000000000000000e+00,2.0000000000000000e+05,"unit",2.0000000000000000e+05,1.0000000000000000e+00,2.0000000000000000e+05,2.0000000000000000e+05,0.0000000000000000e+00
"2","2019","12.2009.","12.2009.02.03.14.","5.3.5.03.","01","05","Benang","DDS",5.0000000000000000e+00,5.0000000000000000e+03,"rol",2.5000000000000000e+04,5.0000000000000000e+00,5.0000000000000000e+03,2.5000000000000000e+04,0.0000000000000000e+00
